,DFO_ID,ISO3,FE,BQFE,CI,QR
793,3714,NGA,294.88520438069474,189.61299440264705,-0.5119758071587542,0.0
794,3714,CAF,1338.909665066451,546.9410530640183,-0.2464140199742923,0.0549785305639464
795,3714,CMR,5675.824299637824,4780.015267633051,-0.7668082469783573,0.0
796,3714,COG,10382.42798352301,4114.469547850489,-0.6638229251251517,0.0
797,2519,NPL,9220.340332033857,659.0271265411377,-0.0109439490537184,0.4546957472119657
798,2519,BGD,2546654.12377606,1085726.9356840774,-0.4360034016951485,0.0073398815337583
799,2648,UKR,0.5666866260839419,0.5666866260839419,-0.8466177033896894,0.0
800,2648,ROU,9800.236237986412,2182.497736059129,-0.0695585386343168,0.409343737279414
801,2648,BGR,2180.512218080409,729.5514291763151,-0.3804924350539604,0.0123350690490552
802,2648,SRB,8511.512945968741,1363.5860396908374,-0.0516914389991874,1.012373605436702
803,2648,BIH,406.9692031527844,104.98095273645596,-0.2262014265425063,0.0
804,3254,LKA,33173.68246873349,2284.8305682116747,0.3227419577000936,5.2267214643724085
805,3294,TZA,7927.382988688108,4597.915459697992,-0.5249085732074272,0.0218527677229503
806,1962,TUR,5.192086495045158,5.192086495045158,-0.9081665912592192,0.0
807,1962,AZE,0.0,0.0,,
808,1962,GEO,6.004330994975236,0.5984539853201971,-0.4158586665359138,0.0
809,1962,ARM,1.5753806742529075,1.5753806742529073,-0.9453165118974892,0.0
810,3452,ECU,37.95786406937987,29.72600026551634,-0.7229203514803072,0.0
811,3384,VNM,285228.9718413441,181944.62814145384,-0.6483981535179092,0.0016744802604188
812,3384,THA,83093.03004040105,44702.58396622973,-0.5369557387256015,0.0064813141422715
813,3384,LAO,4582.997074168707,652.942281561997,0.0940830497234903,2.015350096333302
814,3384,KHM,2254.4936529547163,291.8980366258509,0.2499058099624156,4.279830626223415
815,3531,SEN,341.46829090386626,26.346822509765623,0.0489220628426567,1.4617999948363398
816,3531,GMB,0.0,0.0,,
817,2754,BGD,174504.11094000377,83629.91092939735,-0.5064343178557387,0.0010968545190639
818,3195,BGD,543626.1160645154,224635.3390311417,-0.4142317664297399,0.0560285405777974
819,2077,VNM,837307.7340462208,415259.5937705623,-0.4947506998974467,0.0200862834267306
820,2077,LAO,0.0,0.0,,
821,2077,KHM,21075.36737916682,6613.306573940739,-0.2806923739513817,0.2262184703407864
822,4227,DOM,7605.748451384007,1551.1584510242194,-0.0631720063554803,1.0995681642712358
823,4227,HTI,13616.786810063086,1328.8336196703835,0.2982353710587437,3.3566459046652577
824,4378,NPL,44.60344832360745,2.2218010663986205,-0.1222122495021392,0.0
825,4378,BGD,18063.0388630984,10417.04523841843,-0.5454986655214376,0.0
826,4662,GUY,0.0,0.0,,
827,2433,TUR,96973.56553579416,24905.4953886011,-0.2006153146587551,0.4024813191107828
828,2433,EGY,13591.182251462627,2845.2120483942845,-0.0418476204625082,1.1077812010264287
829,2433,JOR,0.0,0.0,,
830,2161,AGO,1408.5490882828085,781.1211993713678,-0.6553026125177221,0.0
831,2161,ZMB,24762.18064987885,11361.159973300992,-0.4870249325363603,0.0
832,2161,COG,0.0,0.0,,
833,2161,NAM,3293.303378395587,1350.8849625605717,-0.4683446284134981,0.0
834,2161,BWA,227.9801880300232,93.0191127908416,-0.1303032755131847,0.0
835,2161,ZWE,7007.042940887343,890.8928032177873,0.1930859752729612,1.2883767969576947
836,4583,TUR,5965.601561884421,486.4000845960237,-0.0719448410161929,1.085524679256121
837,4583,BGR,139.0763004604313,129.0183061691674,-0.7578649685286986,0.006487820504557
838,4583,SRB,0.0,0.0,,
839,4583,ALB,75.72636953058343,61.23195699592018,-0.7032550581862236,0.0
840,4583,MKD,125.08374840303118,84.74017347767949,-0.6078407744490544,0.0
841,4583,BIH,12.513404279895536,1.5099395645989315,-0.0171538694076561,0.0
842,4153,PHL,533970.5071844741,72842.19130644228,-0.0717518094025886,0.6124047839236048
843,3279,MAR,366.84730536103257,31.24449530690909,0.4586252247516473,0.0
844,2162,AGO,265.40031898789107,164.48817999713123,-0.6858109358129799,0.0
845,2162,ZMB,1032.2561393366009,462.9040767350048,-0.5035100433017001,0.0
846,2162,COG,0.0,0.0,,
847,2162,NAM,161.3806233273447,18.458849953413,-0.3910433204279163,0.0
848,4137,KEN,1713.9272268291563,157.59862915113573,0.3263777063126043,5.081145700492315
849,4137,TZA,6407.948706500885,1402.1007755249927,0.0784929160088447,1.6730109546476235
850,3925,ECU,0.0,0.0,,
851,3925,GUY,0.0,0.0,,
852,3925,BOL,282.0820194821805,169.52578390277918,-0.7099993042350425,0.0
853,3164,NPL,6.048243913650512,6.048243913650511,-0.988725237266342,0.0
