ISO3,INF_capstock
SLB," 508,032,508.60 "
SLE," 1,403,556,212.70 "
SLV," 15,584,352,510.70 "
SMR," 2,690,279,953.70 "
SOM," 4,278,243,049.10 "
SPM," 383,610,437.10 "
SRB," 37,208,601,733.90 "
SSD," 2,808,655,459.20 "
STP," 178,563,898.30 "
SUR," 1,379,985,527.50 "
SVK," 247,677,976,790.20 "
SVN," 153,800,305,720.00 "
SWE," 1,705,634,857,289.00 "
SWZ," 2,147,983,914.50 "
SXM," 2,726,441,547.20 "
SYC," 1,861,449,260.80 "
SYR," 16,660,980,011.60 "
TCA," 1,624,051,638.00 "
TCD," 3,435,519,844.40 "
TGO," 4,664,179,455.40 "
THA," 507,777,561,110.10 "
TJK," 8,745,830,028.70 "
TKL," 12,720,071.60 "
TKM," 38,776,540,487.40 "
TLS," 4,273,353,334.80 "
TON," 453,614,191.00 "
TTO," 20,990,591,681.90 "
TUN," 19,790,966,942.20 "
TUR," 194,287,597,457.00 "
TUV," 37,255,803.00 "
TWN," 490,291,266,025.70 "
TZA," 35,705,088,787.20 "
UGA," 17,942,361,242.30 "
UKR," 141,988,394,619.80 "
URY," 148,861,859,249.10 "
USA," 58,429,426,632,215.10 "
UZB," 38,747,028,713.50 "
VCT," 817,103,640.80 "
VEN," 298,487,879,185.90 "
VGB," 2,218,846,580.10 "
VIR," 7,441,595,925.40 "
VNM," 110,196,657,014.40 "
VUT," 472,486,772.30 "
WLF," 138,668,812.80 "
WSM," 835,993,126.40 "
xAB," 12,253,637.60 "
xAC," 41,831,636.20 "
xAP," 1,282,920,518.80 "
xJK," 17,353,567,235.10 "
xJL," 3,367,983,434.30 "
xPI," 839,740.00 "
xRI," 217,274,113.40 "
xUK," 2,174,470,167.70 "
xxx," 6,168,752.30 "
YEM," 18,971,939,166.70 "
ZAF," 337,415,212,215.70 "
ZMB," 19,069,344,561.10 "
ZWE," 12,550,550,110.70 "
